NGA Record Sequence Number,Scale Factor
2114,1.00
2115,2.70
1432,2.60
721,0.70
1489,1.80
1193,0.80
1836,2.90
2654,1.20
1512,0.50
1487,1.30
2704,2.90
2112,2.80
802,0.40
1302,3.00
1487,1.30
1492,0.80
1199,2.40
1598,2.40
1153,2.60
1546,2.00
1493,1.20
1491,0.80
832,0.80
1301,2.40
179,1.40
1430,3.00
2115,2.40
1816,2.10
791,2.20
1546,2.00
1493,1.30
179,0.50
832,0.90
1301,2.10
1511,1.40
1493,1.40
1541,0.90
832,0.90
1301,2.40
179,1.40
1550,1.40
832,1.20
740,1.90
1301,2.60
721,1.90
1550,1.20
1491,0.80
832,0.90
1301,2.30
721,1.80
1491,1.20
1504,0.40
832,0.80
1301,2.00
1511,1.20
1555,2.20
1493,1.00
2654,1.60
187,1.40
1546,2.10
1493,1.30
1491,0.70
832,0.80
1301,2.20
1762,2.30
1493,1.30
1491,0.70
832,0.80
1301,2.20
1762,2.30
1550,1.50
192,2.50
175,1.00
804,3.00
721,2.00
1550,1.30
1491,1.00
740,1.70
1301,2.40
721,1.80
1492,0.60
169,0.80
1243,1.60
1153,2.10
316,2.10
1468,2.70
1611,2.40
806,0.70
855,2.30
721,2.00
1550,1.30
2115,2.60
179,0.40
804,3.00
721,2.00
1468,2.60
1611,2.50
827,1.10
855,2.10
1208,2.80
