Teff,xi,muFast,alpha,stdVal,meanVal,u_stdVal,u_meanVal,ur_stdVal,ur_meanVal
4.2079559,0.4226181,0.0656406,0.0007862,0.0305226,0.0264050,0.0355920,0.0068339,0.0782664,0.0337344
5.5313744,0.4591429,0.0827740,0.0007836,0.0386088,0.0286076,0.0473462,0.0240784,0.1022899,0.0427592
4.2547464,0.2934184,0.0576421,0.0007370,0.0420253,0.0392380,0.0309676,0.0052847,0.0856055,0.0283032
4.4497714,0.3276360,0.0770784,0.0006729,0.0416268,0.0361861,0.0395901,0.0164899,0.0825947,0.0498337
3.6559461,0.4544263,0.0632148,0.0008272,0.0269557,0.0208122,0.0317494,0.0056758,0.0922721,0.0284444
5.1194652,0.3539639,0.0764298,0.0005363,0.0406247,0.0349374,0.0400904,0.0168512,0.0867992,0.0466835
5.2773605,0.3943192,0.0630560,0.0006021,0.0364345,0.0342346,0.0359402,0.0103277,0.0846056,0.0439288
4.6168703,0.3721413,0.0796350,0.0010122,0.0391759,0.0327519,0.0423018,0.0182171,0.0884064,0.0485088
4.8505155,0.5390411,0.0701427,0.0006937,0.0285543,0.0187070,0.0363869,0.0133399,0.0794092,0.0479667
5.7050602,0.3446665,0.0637879,0.0008182,0.0403671,0.0403812,0.0369395,0.0109345,0.0945566,0.0433324
4.4692857,0.4361992,0.0988623,0.0008615,0.0389351,0.0272777,0.0577493,0.0234531,0.0885434,0.0442289
4.4597665,0.4330923,0.0553936,0.0007691,0.0309559,0.0282661,0.0284799,0.0040430,0.0742567,0.0274725
3.7098517,0.3364684,0.0570793,0.0004945,0.0375311,0.0328233,0.0293929,0.0047869,0.1868768,0.0383010
3.7333096,0.2275132,0.0657698,0.0007866,0.0470494,0.0455598,0.0349918,0.0064949,0.1509389,0.0186916
4.8544905,0.2976514,0.0586175,0.0006357,0.0415603,0.0406701,0.0308530,0.0035480,0.0914234,0.0339775
4.9763710,0.3620840,0.0699464,0.0007090,0.0387051,0.0354251,0.0369216,0.0123765,0.0779318,0.0482511
4.9241178,0.3570699,0.0879947,0.0008740,0.0542914,0.0318260,0.1116562,0.0130924,0.1657647,0.0359843
4.9160591,0.3922496,0.0881876,0.0006131,0.0388644,0.0297434,0.0511101,0.0219365,0.1206005,0.0464172
4.1344516,0.3798092,0.0635652,0.0007387,0.0345400,0.0313698,0.0329258,0.0067046,0.0849379,0.0318277
3.2392942,0.5037817,0.0962666,0.0006750,0.0353678,0.0180340,0.0526368,0.0217017,0.1143204,0.0281744
4.8627572,0.3049073,0.0601166,0.0008401,0.0416587,0.0430025,0.0324736,0.0047276,0.0863863,0.0343674
4.6586910,0.3707278,0.0983151,0.0005483,0.0408023,0.0313838,0.0579485,0.0236244,0.0900549,0.0465723
4.6015658,0.3686833,0.0636862,0.0005157,0.0367714,0.0339291,0.0335668,0.0080801,0.0775602,0.0377736
4.6429396,0.1860733,0.0982605,0.0009053,0.0561550,0.0520395,0.0584373,0.0234206,0.0920364,0.0481067
5.0349320,0.5064230,0.0825144,0.0008526,0.0358796,0.0228688,0.0470221,0.0232573,0.0974992,0.0433182
3.9352575,0.3948227,0.0839686,0.0007014,0.0356826,0.0241586,0.0457778,0.0218762,0.0857421,0.0397316
4.8984892,0.3957681,0.0666049,0.0006461,0.0358964,0.0328866,0.0366904,0.0092335,0.0715257,0.0393825
3.4784030,0.2503455,0.0666700,0.0006852,0.0431760,0.0406147,0.0370948,0.0049111,0.1902642,0.0286656
3.7855072,0.3433903,0.0730631,0.0006813,0.0384242,0.0318470,0.0431457,0.0167004,0.1747335,0.0532314
4.9088689,0.3097364,0.0887431,0.0006745,0.0456533,0.0382430,0.0516017,0.0221618,0.1319953,0.0502447
5.1256395,0.2883834,0.0556464,0.0007415,0.0412400,0.0431509,0.0317284,0.0045777,0.0912315,0.0326902
4.6725158,0.5664044,0.0764854,0.0006959,0.0301866,0.0167172,0.0389974,0.0178967,0.0863115,0.0458731
5.2480960,0.3720290,0.0743287,0.0005268,0.0392036,0.0339870,0.0393614,0.0144620,0.0861642,0.0472726
4.5561032,0.3103362,0.0889053,0.0008330,0.0457827,0.0374539,0.0511014,0.0225848,0.1313692,0.0509964
4.2512948,0.4177708,0.1131449,0.0008030,0.0423479,0.0303641,0.0640382,0.0270450,0.0898199,0.0502009
5.1090003,0.5450973,0.0755703,0.0005728,0.0303159,0.0187141,0.0384353,0.0184876,0.0903068,0.0460492
4.1837075,0.2822797,0.0864556,0.0005863,0.0456877,0.0368479,0.0504077,0.0195264,0.0971898,0.0411799
3.7692357,0.4559519,0.0467894,0.0009908,0.0269221,0.0206468,0.0222507,0.0010343,0.0716231,0.0213967
5.0726690,0.3372756,0.0811812,0.0009206,0.0445843,0.0368164,0.0471779,0.0188689,0.0941910,0.0405756
5.3132905,0.3551656,0.0589156,0.0005733,0.0381600,0.0365066,0.0327088,0.0041313,0.0855639,0.0373404
4.1376520,0.4846328,0.0670022,0.0010055,0.0292936,0.0223305,0.0357987,0.0084582,0.0735334,0.0327639
4.9649298,0.4404985,0.0947455,0.0006518,0.0381151,0.0273919,0.0543767,0.0245846,0.0959527,0.0456510
3.6066877,0.3183161,0.0815489,0.0004862,0.0838207,0.0246799,0.2926533,-0.0105349,0.3423529,-0.0018119
3.8811752,0.3221042,0.0597180,0.0007826,0.0391318,0.0362049,0.0295830,0.0027123,0.0850342,0.0243394
4.6192603,0.5386312,0.0754457,0.0009719,0.0308507,0.0179873,0.0385074,0.0174775,0.1122115,0.0544629
4.5353303,0.3681887,0.0576633,0.0007374,0.0365661,0.0330093,0.0285196,0.0044292,0.0819879,0.0302257
3.6935422,0.3461141,0.0474281,0.0006430,0.0365122,0.0300682,0.0232864,0.0017902,0.0755843,0.0158680
4.1156507,0.3654563,0.1026369,0.0006052,0.0397308,0.0281459,0.0587554,0.0223077,0.0843073,0.0492612
5.6395031,0.2254719,0.0984039,0.0006943,0.0523970,0.0496150,0.0586923,0.0251322,0.1032665,0.0494985
4.8660440,0.5270863,0.0626225,0.0009798,0.0273682,0.0217887,0.0320813,0.0103198,0.0818243,0.0443819
5.1659669,0.3614817,0.0756303,0.0005502,0.0399754,0.0346916,0.0392156,0.0166872,0.0885610,0.0474516
